Course name,Course code,Credits,Level,Department,Division,Owned By
C-125,1125,7.5,First Cycle,D5,D5-3,P-42
C-126,1126,7.5,First Cycle,D4,D4-2,P-32
C-127,1127,7.5,Second Cycle,D5,D5-1,P-41
C-128,1128,7.5,Second Cycle,D4,D4-1,P-31
C-129,1129,7.5,First Cycle,D5,D5-2,P-41
C-130,1130,7.5,Second Cycle,D8,D8-5,P-74
C-131,1131,7.5,First Cycle,D8,D8-3,P-74
C-132,1132,7.5,Second Cycle,D1,D1-1,P-01
C-133,1133,7.5,Second Cycle,D8,D8-1,P-71
C-134,1134,7.5,First Cycle,D6,D6-1,P-51
C-135,1135,7.5,First Cycle,D6,D6-2,P-51
C-136,1136,7.5,Second Cycle,D2,D2-5,P-14
C-137,1137,7.5,Second Cycle,D1,D1-2,P-01
C-138,1138,7.5,Second Cycle,D6,D6-4,P-51
C-139,1139,7.5,Second Cycle,D7,D7-4,P-61
C-140,1140,7.5,First Cycle,D6,D6-0,P-54
C-141,1141,7.5,Second Cycle,D6,D6-1,P-51
C-142,1142,7.5,First Cycle,D7,D7-5,P-61
C-143,1143,7.5,First Cycle,D7,D7-5,P-61
C-144,1144,7.5,Second Cycle,D8,D8-1,P-71
C-145,1145,7.5,Second Cycle,D7,D7-4,P-61
C-146,1146,7.5,First Cycle,D3,D3-1,P-21
C-147,1147,7.5,First Cycle,D7,D7-1,P-61
C-148,1148,7.5,Second Cycle,D2,D2-4,P-14
C-149,1149,7.5,First Cycle,D1,D1-3,P-01
C-150,1150,7.5,Second Cycle,D5,D5-5,P-42
C-151,1151,7.5,First Cycle,D5,D5-0,P-41
C-152,1152,7.5,First Cycle,D4,D4-0,P-32
C-153,1153,7.5,First Cycle,D3,D3-5,P-21
C-154,1154,7.5,Second Cycle,D3,D3-2,P-21
C-155,1155,7.5,Second Cycle,D2,D2-2,P-13
C-156,1156,7.5,First Cycle,D7,D7-3,P-61
C-157,1157,7.5,First Cycle,D3,D3-2,P-21
C-158,1158,7.5,First Cycle,D2,D2-3,P-12
C-159,1159,7.5,Second Cycle,D4,D4-0,P-34
C-160,1160,7.5,Second Cycle,D4,D4-1,P-33
C-161,1161,7.5,Second Cycle,D8,D8-1,P-71
C-162,1162,7.5,Second Cycle,D5,D5-0,P-41
C-163,1163,7.5,Second Cycle,D6,D6-2,P-51
C-164,1164,7.5,First Cycle,D7,D7-3,P-61
C-165,1165,7.5,First Cycle,D2,D2-0,P-11
C-166,1166,7.5,Second Cycle,D5,D5-0,P-42
C-167,1167,7.5,First Cycle,D2,D2-5,P-11
C-168,1168,7.5,Second Cycle,D8,D8-1,P-74
C-169,1169,7.5,First Cycle,D8,D8-3,P-74
C-170,1170,7.5,First Cycle,D8,D8-1,P-71
C-171,1171,7.5,Second Cycle,D1,D1-5,P-01
C-172,1172,7.5,First Cycle,D3,D3-2,P-21
C-173,1173,7.5,Second Cycle,D8,D8-3,P-72
C-174,1174,7.5,Second Cycle,D4,D4-3,P-34
C-175,1175,7.5,Second Cycle,D5,D5-4,P-41
C-176,1176,7.5,First Cycle,D6,D6-3,P-52
C-177,1177,7.5,First Cycle,D3,D3-4,P-21
C-178,1178,7.5,Second Cycle,D2,D2-2,P-13
C-179,1179,7.5,Second Cycle,D2,D2-5,P-12
C-180,1180,7.5,First Cycle,D2,D2-0,P-11
C-181,1181,7.5,First Cycle,D7,D7-0,P-61
C-182,1182,7.5,Second Cycle,D1,D1-3,P-01
C-183,1183,7.5,Second Cycle,D8,D8-4,P-72
C-184,1184,7.5,First Cycle,D5,D5-5,P-42
C-185,1185,7.5,Second Cycle,D8,D8-3,P-71
C-186,1186,7.5,Second Cycle,D4,D4-3,P-32
C-187,1187,7.5,Second Cycle,D2,D2-1,P-11
C-188,1188,7.5,Second Cycle,D7,D7-5,P-61
C-189,1189,7.5,First Cycle,D6,D6-4,P-51
C-190,1190,7.5,First Cycle,D8,D8-0,P-74
C-191,1191,7.5,First Cycle,D5,D5-3,P-42
C-192,1192,7.5,Second Cycle,D3,D3-3,P-21
C-193,1193,7.5,First Cycle,D4,D4-0,P-34
C-194,1194,7.5,Second Cycle,D5,D5-2,P-41
C-195,1195,7.5,First Cycle,D3,D3-4,P-21
C-196,1196,7.5,Second Cycle,D5,D5-2,P-41
C-197,1197,7.5,Second Cycle,D6,D6-1,P-52
C-198,1198,7.5,First Cycle,D3,D3-0,P-21
C-199,1199,7.5,Second Cycle,D7,D7-1,P-61
C-200,1200,7.5,Second Cycle,D2,D2-1,P-12
C-201,1201,7.5,Second Cycle,D6,D6-1,P-52
C-202,1202,7.5,Second Cycle,D7,D7-2,P-61
C-203,1203,7.5,Second Cycle,D4,D4-3,P-32
C-204,1204,7.5,First Cycle,D1,D1-4,P-01
C-205,1205,7.5,Second Cycle,D5,D5-4,P-42
C-206,1206,7.5,First Cycle,D6,D6-1,P-51
C-207,1207,7.5,First Cycle,D3,D3-1,P-21
C-208,1208,7.5,Second Cycle,D6,D6-0,P-52
C-209,1209,7.5,First Cycle,D6,D6-3,P-54
C-210,1210,7.5,Second Cycle,D3,D3-2,P-21
C-211,1211,7.5,First Cycle,D7,D7-4,P-61
C-212,1212,7.5,First Cycle,D4,D4-0,P-33
C-213,1213,7.5,First Cycle,D5,D5-2,P-42
C-214,1214,7.5,Second Cycle,D5,D5-3,P-41
C-215,1215,7.5,Second Cycle,D2,D2-2,P-12
C-216,1216,7.5,Second Cycle,D2,D2-5,P-12
C-217,1217,7.5,Second Cycle,D3,D3-0,P-21
C-218,1218,7.5,First Cycle,D8,D8-2,P-71
C-219,1219,7.5,First Cycle,D4,D4-4,P-33
C-220,1220,7.5,Second Cycle,D4,D4-5,P-33
C-221,1221,7.5,First Cycle,D7,D7-3,P-61
C-222,1222,7.5,Second Cycle,D7,D7-2,P-61
C-223,1223,7.5,Second Cycle,D1,D1-4,P-01
C-224,1224,7.5,First Cycle,D5,D5-1,P-41
C-225,1225,7.5,First Cycle,D6,D6-2,P-52
C-226,1226,7.5,Second Cycle,D8,D8-3,P-72
C-227,1227,7.5,First Cycle,D1,D1-3,P-01
C-228,1228,7.5,First Cycle,D6,D6-2,P-52
C-229,1229,7.5,Second Cycle,D7,D7-0,P-61
C-230,1230,7.5,First Cycle,D5,D5-2,P-42
C-231,1231,7.5,Second Cycle,D4,D4-5,P-34
C-232,1232,7.5,First Cycle,D6,D6-1,P-52
C-233,1233,7.5,Second Cycle,D7,D7-3,P-61
C-234,1234,7.5,First Cycle,D4,D4-1,P-32
C-235,1235,7.5,Second Cycle,D6,D6-0,P-51
C-236,1236,7.5,First Cycle,D2,D2-1,P-12
C-237,1237,7.5,First Cycle,D1,D1-2,P-01
C-238,1238,7.5,First Cycle,D2,D2-4,P-12
C-239,1239,7.5,First Cycle,D8,D8-2,P-74
C-240,1240,7.5,First Cycle,D5,D5-5,P-41
C-241,1241,7.5,First Cycle,D5,D5-2,P-42
C-242,1242,7.5,Second Cycle,D2,D2-3,P-11
C-243,1243,7.5,First Cycle,D3,D3-4,P-21
C-244,1244,7.5,First Cycle,D7,D7-0,P-61
C-245,1245,7.5,First Cycle,D7,D7-1,P-61
C-246,1246,7.5,Second Cycle,D6,D6-4,P-52
C-247,1247,7.5,Second Cycle,D7,D7-5,P-61
C-248,1248,7.5,First Cycle,D3,D3-0,P-21
C-249,1249,7.5,Second Cycle,D5,D5-0,P-42
C-250,1250,7.5,First Cycle,D8,D8-0,P-72
C-251,1251,7.5,First Cycle,D1,D1-3,P-01
C-252,1252,7.5,First Cycle,D4,D4-2,P-32
C-253,1253,7.5,First Cycle,D8,D8-2,P-74
C-254,1254,7.5,First Cycle,D5,D5-5,P-42
C-255,1255,7.5,First Cycle,D8,D8-1,P-71
C-256,1256,7.5,First Cycle,D6,D6-2,P-53
C-257,1257,7.5,Second Cycle,D1,D1-3,P-01
C-258,1258,7.5,Second Cycle,D4,D4-5,P-33
C-259,1259,7.5,First Cycle,D3,D3-0,P-21
C-260,1260,7.5,Second Cycle,D7,D7-5,P-61
C-261,1261,7.5,Second Cycle,D8,D8-3,P-71
C-262,1262,7.5,First Cycle,D4,D4-1,P-33
C-263,1263,7.5,Second Cycle,D7,D7-1,P-61
C-264,1264,7.5,First Cycle,D2,D2-3,P-14
C-265,1265,7.5,Second Cycle,D7,D7-3,P-61
C-266,1266,7.5,Second Cycle,D4,D4-4,P-33
C-267,1267,7.5,First Cycle,D4,D4-1,P-32
C-268,1268,7.5,First Cycle,D3,D3-5,P-21
C-269,1269,7.5,Second Cycle,D7,D7-2,P-61
C-270,1270,7.5,First Cycle,D2,D2-2,P-11
C-271,1271,7.5,First Cycle,D2,D2-0,P-14
C-272,1272,7.5,Second Cycle,D8,D8-0,P-71
C-273,1273,7.5,Second Cycle,D7,D7-5,P-61
C-274,1274,7.5,First Cycle,D1,D1-2,P-01
C-275,1275,7.5,Second Cycle,D2,D2-4,P-12
C-276,1276,7.5,Second Cycle,D1,D1-3,P-01
C-277,1277,7.5,First Cycle,D2,D2-2,P-13
C-278,1278,7.5,Second Cycle,D6,D6-0,P-54
C-279,1279,7.5,Second Cycle,D1,D1-4,P-01
C-280,1280,7.5,Second Cycle,D6,D6-5,P-52
C-281,1281,7.5,First Cycle,D1,D1-0,P-01
C-282,1282,7.5,Second Cycle,D6,D6-3,P-54
C-283,1283,7.5,Second Cycle,D7,D7-2,P-61
C-284,1284,7.5,First Cycle,D6,D6-4,P-54
C-285,1285,7.5,First Cycle,D8,D8-2,P-73
C-286,1286,7.5,First Cycle,D6,D6-4,P-54
C-287,1287,7.5,Second Cycle,D3,D3-0,P-21
C-288,1288,7.5,Second Cycle,D6,D6-5,P-54
C-289,1289,7.5,First Cycle,D1,D1-0,P-01
C-290,1290,7.5,First Cycle,D6,D6-0,P-54
C-291,1291,7.5,First Cycle,D1,D1-3,P-01
C-292,1292,7.5,First Cycle,D1,D1-3,P-01
C-293,1293,7.5,Second Cycle,D3,D3-0,P-21
C-294,1294,7.5,First Cycle,D7,D7-4,P-61
C-295,1295,7.5,First Cycle,D3,D3-0,P-21
C-296,1296,7.5,Second Cycle,D2,D2-0,P-13
C-297,1297,7.5,Second Cycle,D2,D2-2,P-12
C-298,1298,7.5,First Cycle,D7,D7-4,P-61
C-299,1299,7.5,Second Cycle,D1,D1-3,P-01
C-300,1300,7.5,First Cycle,D8,D8-5,P-72
